고유번호,구분코드,구분명,측정일자,측정수위,통신상태,위치정보
01-0001,1,종로,2022-11-07 09:24:00.0,0.07,통신양호,종로구 새문안로9길 9 앞 맨홀(세븐일레븐앞 현대해상화재빌딩뒤 백운동천하수박스)
01-0002,1,종로,2022-11-07 09:24:00.0,0.1,통신양호,중로구 세종대로 지하189 (세종로지하주차장 6층 천장)
01-0003,1,종로,2022-11-07 09:24:00.0,0.11,통신양호,종로구 자하문로 21 앞 맨홀(영해빌딩앞코너 측구측 백운동천 하수박스)
01-0004,1,종로,2022-11-07 09:24:00.0,0.12,통신양호,종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길 미대사관~종로소방서 남측 중학천 하스박스)
02-0001,2,중,2022-11-07 09:23:00.0,0.39,통신양호,중구 남대문로10길 9 앞  맨홀<경기빌딩 앞 청계천(삼각동천)유입 하수박스>
02-0002,2,중,2022-11-07 09:23:00.0,0.14,통신양호,서울특별시 중구 동호로12길 118 미선여관 진입로 앞 도로변
02-0003,2,중,2022-11-07 09:23:00.0,0.05,통신양호,서울특별시 중구 마장로5길 26 창성 중고주방가구 건물 앞 도로변
02-0004,2,중,2022-11-07 09:23:00.0,0.07,통신양호,서울특별시 중구 퇴계로83길 형제주방앞 사거리 도로중앙
02-0005,2,중,2022-11-07 09:23:00.0,0.23,통신양호,서울특별시 중구 다산로 253 와이즈캐슬 정문앞 도로변
03-0001,3,용산,2022-11-07 09:23:00.0,0.14,통신양호,용산구 한강대로 지하112앞 1차로측 맨홀(신용산역5번출입구 앞 용성비즈텔옆)
03-0002,3,용산,2022-11-07 09:23:00.0,2.36,통신양호,서울특별시 용산구 원효로4가 140 원효2동 동산호 아파트 버스정류장 앞 도로에 위치
03-0003,3,용산,2022-11-07 09:23:00.0,0.07,통신양호,서울특별시 용산구 원효로4가 142-3 삼성테마트 정류장 남쪽 30m 지점에 위치
03-0004,3,용산,2022-11-07 09:23:00.0,0.16,통신양호,서울특별시 용산구 문배동 29-2 용산CJ나인 파크 버스정류장 남서쪽 60m 도로에 위치
03-0005,3,용산,2022-11-07 09:23:00.0,0.39,통신양호,서울특별시 용산구 문배동 24-21 용산아크로 타워 아파트 102동 201동 사이 도로에 위치
03-0006,3,용산,2022-11-07 09:23:00.0,0.3,통신양호,서울특별시 용산구 문배동 19-2 용산문화체육센터 앞 도로에 위치
03-0007,3,용산,2022-11-07 09:23:00.0,0.03,통신양호,서울특별시 용산구 청파3동 73-2
03-0008,3,용산,2022-11-07 09:23:00.0,0.12,통신양호,서울특별시 용산구 한남동 627-1 유로주차장 도로 앞
03-0009,3,용산,2022-11-07 09:23:00.0,0.06,통신양호,서울특별시 용산구 한남동 522-2 글로벌 공인중개사 도로 앞
04-0001,4,성동,2022-11-07 09:24:00.0,0.06,통신양호,성동구 용답중앙13길1옆 맨홀(용답중앙13길1옆~용답중앙길54 옆)
04-0002,4,성동,2022-11-07 09:24:00.0,0.23,통신양호,성동구 고산자로10길 13앞 맨홀(동수도사업소 정문앞)
04-0003,4,성동,2022-11-07 09:24:00.0,0.03,통신양호,성동구 왕십리로 280 행당동삼부아파트105동옆 맨홀        (중앙선 철도횡단 행당지하보차도앞 차도측 맨홀)
04-0004,4,성동,2022-11-07 09:24:00.0,0.17,통신양호,성동구 왕십리로241 서울숲더샵 101동앞 맨홀     (101동 사가동앞 교통섬부근 1차로측 한양대병원교차로 남측)        
04-0005,4,성동,2022-11-07 09:24:00.0,0.09,통신양호,성동구 성수일로 17-1 연우유통 앞 도로내 맨홀
04-0006,4,성동,2022-11-07 09:24:00.0,0.63,통신양호,성동구 아차산로46 대원잉크화학 앞 도로내 맨홀
04-0007,4,성동,2022-11-07 09:24:00.0,0.07,통신양호,서울특별시 성동구 장터길 46 우리은행 금호동지점 북측 도로변
04-0008,4,성동,2022-11-07 09:24:00.0,0.06,통신양호,서울특별시 성동구 금호로3길 11 삼신아파트 정문 앞 도로변
04-0009,4,성동,2022-11-07 09:24:00.0,0.08,통신양호,서울특별시 성동구 광나루로6길 54 성수대우프레시아 아파트 북측 도로변
04-0010,4,성동,2022-11-07 09:24:00.0,0.41,통신양호,서울특별시 성동구 아차산로13길 48 SK 텔레콤 사옥 북측 도로변
04-0011,4,성동,2022-11-07 09:24:00.0,0.04,통신양호,서울특별시 성동구 행당로17길 26 무지개 새마을금공 정문 앞 도로변
05-0001,5,광진,2022-11-07 09:24:00.0,0.29,통신양호,광진구 자양로13길41앞 맨홀(자양1동주민센터옆 자마장공원앞~대원캐슬빌 자양로13가길 2앞)
05-0002,5,광진,2022-11-07 09:24:00.0,0.02,통신양호,광진구 광나루로36길 56앞 맨홀(구의1동주민센터앞 동대부속여중고 샛별관옆)
05-0003,5,광진,2022-11-07 09:24:00.0,0.06,통신양호,광진구 동일로62길 7앞 사거리내 맨홀(천호대로101길 11 영진빌딩앞 군자지하차도 주변)
05-0005,5,광진,2022-11-07 09:24:00.0,0.13,통신양호,서울특별시 광진구 동일로62길 34 GS25광진타운점앞 도로변
05-0006,5,광진,2022-11-07 09:24:00.0,0.04,통신양호,서울특별시 광진구 동일로 360 우인빌딩 우인아트홀 앞 도로변
05-0007,5,광진,2022-11-07 09:24:00.0,0.11,통신양호,서울특별시 광진구 동일로76가길 4 라이프 싱크대공장 앞
05-0008,5,광진,2022-11-07 09:24:00.0,0.04,통신양호,서울특별시 광진구 동일로 449 진일빌딩앞 공원진입도로변
05-0009,5,광진,2022-11-07 09:24:00.0,0.08,통신양호,서울특별시 광진구 능동로34길 27 쉐보레 동서울전시장앞 도로중앙분리대
05-0010,5,광진,2022-11-07 09:24:00.0,0.21,통신양호,서울특별시 광진구 천호대로 533 쉐보레 동서울전시장앞 도로중앙분리대
05-0011,5,광진,2022-11-07 09:24:00.0,0.23,통신양호,서울특별시 광진구 아차산로 503 청구아파트101동 앞 도로변
05-0012,5,광진,2022-11-07 09:24:00.0,0.43,통신양호,서울특별시 광진구 아차산로 563 대한제지빌딩 앞 도로변
06-0001,6,동대문,2022-11-07 09:23:00.0,0.55,통신양호,동대문구 장한로17길 42옆 맨홀(대광연립옆 장안1빗물펌프장앞 길)
06-0002,6,동대문,2022-11-07 09:23:00.0,0.18,통신양호,동대문구 신이문로16길 4앞 맨홀(이문초등교 담장옆골목)
06-0003,6,동대문,2022-11-07 09:23:00.0,0.08,통신양호,서울특별시 동대문구 전농로3가길 1 샘샘근린공원 앞 도로변
