강우량계코드,강우량계명,구청코드,구청명,10분우량,자료수집 시각
101,강남구청,101,강남구,0.0,2022-11-07 09:19
102,세곡동,101,강남구,0.0,2022-11-07 09:19
103,개포2동,101,강남구,0.0,2022-11-07 09:19
201,강동구청,102,강동구,0.0,2022-11-07 09:19
202,고덕2동,102,강동구,0.0,2022-11-07 09:19
301,도봉구청,103,도봉구,0.0,2022-11-07 09:19
401,노원구청,104,노원구,0.0,2022-11-07 09:19
402,상계1동,104,노원구,0.0,2022-11-07 09:19
501,강북구청,105,강북구,0.0,2022-11-07 09:19
601,성북구청,106,성북구,0.0,2022-11-07 09:19
602,상월곡동,106,성북구,0.0,2022-11-07 09:19
701,중랑구청,107,중랑구,0.0,2022-11-07 09:19
702,면목P,107,중랑구,0.0,2022-11-07 09:19
801,동대문구청,108,동대문구,0.0,2022-11-07 09:19
802,휘경P,108,동대문구,0.0,2022-11-07 09:19
901,성동구청,109,성동구,0.0,2022-11-07 09:19
902,뚝섬P,109,성동구,0.0,2022-11-07 09:19
1001,종로구청,110,종로구,0.0,2022-11-07 09:19
1002,부암동,110,종로구,0.0,2022-11-07 09:19
1101,중구청,111,중구,0.0,2022-11-07 09:19
1104,서소문,111,중구,0.0,2022-11-07 09:19
1201,광진구청,112,광진구,0.0,2022-11-07 09:19
1301,은평구청,113,은평구,0.0,2022-11-07 09:19
1302,증산P,113,은평구,0.0,2022-11-07 09:19
1303,갈현1동,113,은평구,0.0,2022-11-07 09:19
1401,서대문구청,114,서대문구,0.0,2022-11-07 09:19
1501,마포구청,115,마포구,0.0,2022-11-07 09:19
1502,봉원P,115,마포구,0.0,2022-11-07 09:19
1601,용산구청,116,용산구,0.0,2022-11-07 09:19
1602,한남P,116,용산구,0.0,2022-11-07 09:19
1701,강서구청,117,강서구,0.0,2022-11-07 09:19
1702,공항동P,117,강서구,0.0,2022-11-07 09:19
1801,양천구청,118,양천구,0.0,2022-11-07 09:19
1802,목동P,118,양천구,0.0,2022-11-07 09:19
1901,영등포구청,119,영등포구,0.0,2022-11-07 09:19
1902,도림2동P,119,영등포구,0.0,2022-11-07 09:19
2001,구로구청,120,구로구,0.0,2022-11-07 09:19
2002,개봉2동,120,구로구,0.0,2022-11-07 09:19
2101,동작구청,121,동작구,0.0,2022-11-07 09:19
2102,흑석P,121,동작구,0.0,2022-11-07 09:19
2201,금천구청,122,금천구,0.0,2022-11-07 09:19
2202,가산2P,122,금천구,0.0,2022-11-07 09:19
2301,관악구청,123,관악구,0.0,2022-11-07 09:19
2302,신림P,123,관악구,0.0,2022-11-07 09:19
2401,서초구청,124,서초구,0.0,2022-11-07 09:19
2402,반포P,124,서초구,0.0,2022-11-07 09:19
2501,송파구청,125,송파구,0.0,2022-11-07 09:19
2502,마천2동,125,송파구,0.0,2022-11-07 09:19
